LUAD_47
AFF2
AMER1
ARID1A
ASXL3
ATM
BAZ2B
BRAF
CDH12
CDK12
CDKN2A
COL1A1
CREBBP
CTNNB1
DNMT3A
EGFR
EIF4G1
EPHA4
FAT1
FN1
KDR
KEAP1
KMT2A
KMT2C
KRAS
ADGRL2
MAP3K4
MET
MGA
MMP2
MMP16
NCAM1
NF1
NTRK2
NUP98
PIK3CA
PRKCB
PTPRD
RB1
RBM10
RYR2
SETD2
SMAD4
SMARCA4
SORCS3
STK11
SVEP1
TP53
